2018-03-21 2018-03-20
005217 建信福泽安泰混合(FOF) null
005215 南方全天候策略(FOF)A null
005216 南方全天候策略(FOF)C null
005220 海富通聚优精选混合(FOF) null
505888 嘉实元和 null
000992 广发对冲套利定期开放混合 null
001117 中欧精选定期开放混合A null
184801 鹏华前海万科REITS null
001274 民生加银新动力混合D null
001890 中欧精选定期开放混合E null
001615 中欧睿尚定期开放混合 null
001309 东方红睿逸定期开放混合 null
001428 工银瑞信灵活配置混合B null
002269 银华大数据灵活配置定开混合 null
001357 泓德泓富混合A null
001376 泓德泓富混合C null
001728 银华战略新兴定开混合 null
002166 华夏永福养老理财混合C null
001585 国投瑞银新活力定开混合C null
001584 国投瑞银新活力定开混合A null
002224 中邮绝对收益策略定期开放混合 null
002223 中邮尊享一年定开混合 null
002844 金鹰多元策略混合 null
001729 银华逆向投资定开混合 null
002437 上投摩根天颐年丰混合C null
000904 银华回报灵活配置定期开放混合 null
003331 博时乐臻定开混合 null
003339 华安睿享定开混合A null
002834 华夏新锦绣混合C null
003340 华安睿享定开混合C null
003350 广发鑫盛18个月定开混合 null
001774 招商丰庆混合C null
002908 富国睿利定开混合发起式 null
003362 国联安睿利定开混合 null
003355 招商稳祥定开灵活混合A null
002846 泓德泓华混合 null
003405 招商稳盛定开混合C null
000970 东方红睿元混合 null
003632 招商稳乾定开混合A null
003509 华安睿安定开混合C null
003697 华夏睿磐泰盛定开混合 null
003150 中欧睿诚定期开放混合A null
003151 中欧睿诚定期开放混合C null
160524 博时弘泰混合 null
003699 华夏新锦祥混合C null
004277 浦银安和回报定开混合C null
004283 中欧达安一年定开混合 null
004219 中海添顺定期开放混合 null
004276 浦银安和回报定开混合A null
002839 华夏新锦程混合C null
003541 国联安睿智定开混合 null
003326 招商睿诚定开混合 null
003981 中银证券瑞益混合C null
003508 华安睿安定开混合A null
003907 华夏新锦图混合C null
004095 招商丰诚灵活混合C null
003404 招商稳盛定开混合A null
501033 银华惠安定期开放混合 null
003900 交银瑞鑫定开混合 null
003901 交银瑞景定开混合 null
004218 前海开源裕和定期开放混合 null
003813 泰康金泰3月定开混合 null
003980 中银证券瑞益混合A null
003856 国都聚鑫定期开放混合 null
004457 光大信多策略智选定开混合 null
004278 东方红智逸沪港深定开混合 null
003759 国泰稳益定开灵活配置混合C null
004265 金鹰民丰回报定期开放混合 null
004534 添富年年益定开混合A null
160525 博时睿丰定开混合 null
004551 中银证券瑞享混合A null
004101 国泰民安增益定开混合 null
003939 南方荣尊定开混合C null
003761 国泰宁益定期开放灵活配置混合C null
003807 南方荣优鑫年享定开混合A null
004447 南方荣年C null
003955 国泰民丰回报定开混合 null
004245 国都聚益定开混合 null
003938 南方荣尊定开混合A null
003004 招商睿祥定开混合 null
003633 招商稳乾定开混合C null
003808 南方荣优鑫年享定开混合C null
004436 添富年年泰定开混合A null
004437 添富年年泰定开混合C null
004466 长盛盛杰一年期定开混合 null
004535 添富年年益定开混合C null
004451 汇添富年年丰定开混合A null
004680 前海开源沪港深裕瑞定开 null
004446 南方荣年A null
004443 南方荣知定期开放混合A null
004444 南方荣知定期开放混合C null
004525 中欧达乐一年定开混合 null
003760 国泰宁益定期开放灵活配置混合A null
004452 汇添富年年丰定开混合C null
001523 博时新策略灵活配置混合C null
004051 华夏新锦升混合C null
001748 易方达瑞祺灵活配置混合E null
005330 添富民安增益定开混合C null
005475 泰康均衡优选混合C null
004049 华夏新锦汇混合C null
005221 泰达宏利全能混合(FOF)A null
005222 泰达宏利全能混合(FOF)C null
501042 汇添富弘安混合C null
160423 华安慧增优选定开混合 null
501049 东方红睿玺三年定开混合 null
005018 国金民丰回报6个月定开混合 null
005464 银华多元收益定开混合C null
005256 富国新优选灵活定开混合A null
005403 南方融尚再融资混合 null
005355 中金金序量化成长A null
004915 北信瑞丰尊赢定期开放混合 null
005257 富国新优选灵活定开混合C null
005443 国金量化多策略混合 null
005463 银华多元收益定开混合A null
005357 富国国企改革灵活配置混合 null
163417 兴全合宜混合A null
005226 山西改革精选灵活配置混合 null
004837 中融鑫价值混合C null
002439 创金合信睿合定开混合 null
005129 富国金利定开混合A null
005300 万家成长优选混合C null
005218 华夏聚惠(FOF)A null
501053 东方红目标优选定开混合 null
005291 华富星玉衡混合A null
005156 嘉实领航资产配置混合A null
005157 嘉实领航资产配置混合C null
005292 华富星玉衡混合C null
004959 圆信永丰优悦生活混合 null
005280 安信稳健阿尔法定开混合 null
005177 华夏睿磐泰利定开混合A null
004552 中银证券瑞享混合C null
004884 中银瑞丰定开混合C null
004688 汇添富熙和精选混合C null
004607 长信利尚一年定开混合 null
005356 中金金序量化成长C null
005130 富国金利定开混合C null
005481 银华瑞泰灵活配置混合 null
004756 国寿安保稳吉混合A null
004687 汇添富熙和精选混合A null
005379 添富价值创造定开混合 null
005061 农银永益定开混合 null
005308 财通资管鑫达混合C null
004779 上投安腾回报混合C null
004772 国寿安保稳泰一年定开混合A null
004836 中融鑫价值混合A null
005376 北信瑞丰华丰灵活配置 null
004773 国寿安保稳泰一年定开混合C null
005549 富国成长优选三年定开混合 null
004757 国寿安保稳吉混合C null
005027 光大多策略优选定开混合 null
004883 中银瑞丰定开混合A null
004848 中欧睿泓定开混合 null
004760 国寿安保稳瑞混合A null
004460 富国嘉利稳健配置定期开放混合 null
001441 易方达瑞信混合I null
001747 易方达瑞祺灵活配置混合I null
004806 长信先机两年定开混合 null
005422 鹏华兴嘉定期开放混合 null
001442 易方达瑞信混合E null
005358 东方阿尔法精选混合A null
005372 中加心悦混合C null
005576 华泰柏瑞新金融地产混合 null
501041 汇添富弘安混合A null
005307 财通资管鑫达混合A null
501054 东方红睿泽三年定开混合 null
005255 浦银安盛港股通量化混合 null
005518 富国新趋势灵活配置混合C null
003758 国泰稳益定开灵活配置混合A null
005517 富国新趋势灵活配置混合A null
005449 华夏行业龙头混合 null
005329 添富民安增益定开混合A null
000894 中欧睿达定期开放 null
004798 建信智享添鑫定开混合 null
005371 中加心悦混合A null
005219 华夏聚惠(FOF)C null
005299 万家成长优选混合A null
005359 东方阿尔法精选混合C null
005252 中海添瑞定开混合 null
004778 上投安腾回报混合A null
005486 平安大华量化精选混合A null
004675 富国新机遇灵活配置混合C null
005178 华夏睿磐泰利定开混合C null
005474 泰康均衡优选混合A null
004761 国寿安保稳瑞混合C null
005487 平安大华量化精选混合C null
005108 圆信永丰双利优选 null
005583 易方达港股通红利混合 null
003356 招商稳祥定开灵活混合C null
005175 国寿安保消费新蓝海混合 null
005630 华安研究精选混合 null
005730 国泰江源优势精选混合 null
005543 银华心诚灵活配置混合 null
005632 鹏华量化先锋混合 null
